ID,NAME,KEY_NAME,DEPARTMENT,BRANCH,SPELL,SPELL_DEP,POP_NAME,POP_SPELL,CATEGORY,RANK,RANK_CATE,RANK_CITY,RANK_SEARCH,X_COORD,Y_COORD,AD_CODE,ADDRESS,ADDR_PROV,PROV_CODE,ADDR_CITY,CITY_CODE,ADDR_COUNTY,COUNTY_CODE,ADDR_TOWN,TOWN_ID,ADDR_VILLAGE,VILLAGE_ID,ADDR_BUILDING,ADDR_REGION,REGION_ID,ADDR_STREETNO,ADDR_ROAD,ROAD_ID,L_R,LINK_ID,POST_CODE,TELEPHONE,PHONE_INFO,TOLLFREE_NUMBER,EMAIL,EMAIL_INFO,FAX,WEBSITE,WEBSITE_INFO,PAYMENT_METHOD,OPERATION_HOUR,TRADE_MARK,IMAGE_ID,ESTABLISH_TIME,LAST_UPDATE,CONTACT,LANGUAGE,SPECIALITY,AFFILIATION,TAGLINE,DESC,CLASS
B00156DXGR,东北姐妹饺子馆,,,,DongBei JieMei JiaoZiGuan,,,,050118,0,0.00-0.70,100000000,0,121.431800,31.036391,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,239254,,,,,,,,,,,,,,2012-02-20,2012-09-08,,中文,,,,,1
B00155FCS6,中国农业银行,,,,ZhongGuo NongYe YinHang,,,,160107,6738,0.22-0.70,100000000,36700000,121.409224,31.043296,310112,北松路,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,北松路,595,,236254,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B0015573EF,红房子经营部,,,,HongFangZi JingYingBu,,,,060000,0,0.00-0.70,100000000,0,121.464323,31.043214,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,236506,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155QOOL,康茗茶楼,,,,KangMing ChaLou,,,,050600,0,0.00-0.49,100000000,0,121.409599,31.016823,310112,金平路547,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,547,金平路,4618,,237718,,021-34151389,,,,,,,,,,,0l422012062500001571,2012-02-20,2012-09-09,,中文,,,,,3
B00155IHI7,家得利超市(龙吴路),家得利超市,,龙吴路,JiaDeLi ChaoShi (LongWu Lu),,,,060400,5338,0.07-0.70,100000000,776000,121.468504,31.042082,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,236057,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,5
B00155E0RB,邦林机械制造(上海)有限公司,,,,BangLin JiXie ZhiZao (ShangHai) YouXianGongSi,,,,170204,0,0.00-0.32,100000000,0,121.435560,31.031930,310112,剑川路618,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,618,剑川路,4258,,236893,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,3
B001557YKQ,皖南塘饭店,,,,WanNanTang FanDian,,,,050100,0,0.00-0.70,100000000,0,121.402824,31.026714,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235337,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155L4WF,上海驰达汽车销售服务有限公司(同仁别墅东),上海驰达汽车销售服务有限公司,,同仁别墅东,ShangHai ChiDa QiChe XiaoShou FuWu YouXianGongSi (TongRen BieShu Dong),,,,030000,0,0.00-0.50,100000000,0,121.396785,31.037256,310112,颛桥镇北松公路678号,上海市,310000,上海市,310000,闵行区,310112,颛桥镇,310112t00002,,,,,,678,北松公路,590,,238632,201109,021-64909076;021-58123158,,,,,021-64909056,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B001558ZVK,北桥生产资料经营部,,,,BeiQiao ShengChan ZiLiao JingYingBu,,,,060000,0,0.00-0.70,100000000,0,121.413887,31.044545,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,237627,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155DH57,星大乐酒楼,,,,XingDaLe JiuLou,,,,050101,0,0.00-0.70,100000000,0,121.405830,31.041569,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,236253,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
