大类/ Main Category,中类NO.,中类,小类NO.,小类名称,类型代码（新）
01 汽车服务 /Vehicle Service,0,汽车服务相关,0,汽车服务相关,10000
,1,加油站,0,加油站,10100
,,,1,中国石化,10101
,,,2,中国石油,10102
,,,3,壳牌,10103
,,,4,美孚,10104
,,,5,加德士,10105
,,,6,华润,10106
,,,7,东方,10107
,,,8,中石油碧辟,10108
,,,9,中石化碧辟,10109
,,,10,道达尔,10110
,2,加油加气站,0,加油加气站,10200
,3,加气站,0,加气站,10300
,4,汽车养护/装饰,0,汽车养护相关,10400
,5,洗车场,0,洗车场,10500
,6,汽车俱乐部,0,汽车俱乐部,10600
,7,汽车救援,0,汽车救援,10700
,8,汽车配件销售,0,汽车配件销售,10800
,9,汽车租赁,0,汽车租赁,10900
,,,1,汽车租赁还车,10901
,10,二手车交易,0,二手车交易,11000
02 汽车销售 /Car Dealer,0,汽车销售,0,汽车销售,20000
,1,大众特约销售,0,大众销售,20100
,,,1,上海大众销售,20101
,,,2,一汽大众销售,20102
,,,3,斯柯达销售,20103
,2,本田特约销售,0,本田销售,20200
,,,1,广州本田销售,20201
,,,2,东风本田销售,20202
,,,3,本田讴歌销售,20203
,3,奥迪特约销售,0,奥迪销售,20300
,,,1,一汽大众奥迪销售,20301
,4,通用特约销售,0,通用销售,20400
,,,1,凯迪拉克销售,20401
,,,2,别克销售,20402
,,,3,雪弗莱销售,20403
,,,4,欧宝销售,20404
,,,5,萨博销售,20405
,,,6,沃克斯豪尔销售,20406
,,,7,土星销售,20407
,5,大宇特约销售,0,大宇销售,20500
,6,宝马特约销售,0,宝马销售,20600
,,,1,宝马MINI车销售,20601
,,,2,劳斯莱斯销售,20602
,7,日产特约销售,0,日产销售,20700
,,,1,东风日产销售,20701
,,,2,郑州日产销售,20702
,,,3,英菲尼迪销售,20703
,8,雷诺销售,0,雷诺销售,20800
,9,奔驰戴-克特约销售,0,奔驰销售,20900
,,,1,吉普销售,20901
,,,2,克莱斯勒销售,20902
,,,3,道奇销售,20903
,,,4,迈巴赫销售,20904
,,,5,精灵销售,20905
,10,丰田特约销售,0,丰田销售,21000
,,,1,一汽丰田销售,21001
,,,2,广州丰田销售,21002
,,,3,雷克萨斯销售,21003
,,,4,大发销售,21004
,11,斯巴鲁销售,0,斯巴鲁销售,21100
,12,标致雪铁龙销售,0,雪铁龙销售,21200
,,,1,东风雪铁龙销售,21201
,,,2,标致销售,21202
,13,三菱/Mitsubishi销售,0,三菱销售,21300
,14,菲亚特销售,0,菲亚特销售,21400
,,,1,阿尔法-罗密欧销售,21401
,15,法拉利销售,0,法拉利销售,21500
,,,1,玛莎拉蒂销售,21501
,16,现代/Hyundai销售,0,现代销售,21600
,17,起亚/ Kia销售,0,起亚销售,21700
,18,福特销售,0,福特销售,21800
,,,1,沃尔沃销售,21801
,,,2,马自达销售,21802
,,,3,林肯销售,21803
,,,4,水星销售,21804
,19,美洲豹销售,0,美洲豹销售,21900
,20,陆虎销售,0,陆虎销售,22000
,21,保时捷销售,0,保时捷/凯雁销售,22100
,22,东风销售,0,东风销售,22200
,23,吉利销售,0,吉利销售,22300
,24,奇瑞销售,0,奇瑞销售,22400
03 汽车维修 / Car Repair & Maintenance,0,汽车维修,0,汽车维修,30000
,1,汽车综合维修,0,汽车综合维修,30100
,2,大众特约维修,0,大众维修,30200
,,,1,上海大众维修,30201
,,,2,一汽大众维修,30202
,,,3,斯柯达维修,30203
,3,本田特约维修,0,本田维修,30300
,,,1,广州本田维修,30301
,,,2,东风本田维修,30302
,,,3,本田讴歌维修,30303
,4,奥迪特约维修,0,奥迪维修,30400
,,,1,一汽大众奥迪维修,30401
,5,通用特约维修,0,通用维修,30500
,,,1,凯迪拉克维修,30501
,,,2,别克维修,30502
,,,3,雪弗莱维修,30503
,,,4,欧宝维修,30504
,,,5,萨博维修,30505
,,,6,沃克斯豪尔维修,30506
,,,7,土星维修,30507
,6,大宇维修,0,大宇维修,30600
,7,宝马特约维修,0,宝马维修,30700
,,,1,宝马MINI维修,30701
,,,2,劳斯莱斯维修,30702
,8,日产特约维修,0,日产维修,30800
,,,1,英菲尼迪维修,30801
,,,2,东风日产维修,30802
,,,3,郑州日产维修,30803
,9,雷诺维修,0,雷诺维修,30900
,10,奔驰戴-克特约维修,0,奔驰维修,31000
,,,1,吉普维修,31001
,,,2,克莱斯勒维修,31002
,,,3,道奇维修,31003
,,,4,迈巴赫维修,31004
,,,5,精灵维修,31005
,11,丰田特约维修,0,丰田维修,31100
,,,1,一汽丰田维修,31101
,,,2,广州丰田维修,31102
,,,3,雷克萨斯维修,31103
,,,4,大发维修,31104
,12,斯巴鲁维修,0,斯巴鲁维修,31200
,13,标致雪铁龙维修,0,雪铁龙维修,31300
,,,1,标致维修,31301
,,,2,东风雪铁龙维修,31302
,14,三菱维修,0,三菱维修,31400
,15,菲亚特维修,0,菲亚特维修,31500
,,,1,阿尔法-罗密欧维修,31501
,16,法拉利维修,0,法拉利维修,31600
,,,1,玛莎拉蒂维修,31601
,17,现代维修,0,现代维修,31700
,18,起亚维修,1,起亚维修,31800
,19,福特维修维修,0,福特维修,31900
,,,1,沃尔沃维修,31901
,,,2,马自达维修,31902
,,,3,林肯维修,31903
,,,4,水星维修,31904
,20,美洲豹维修,0,美洲豹维修,32000
